# Time, Spearman
0.000000000000000000e+00 nan
7.233333333333333393e+00 nan
1.446666666666666679e+01 -9.999999999999998890e-01
2.169999999999999929e+01 -1.000000000000000000e+00
2.894999999999999929e+01 -1.000000000000000000e+00
3.620000000000000284e+01 -9.999999999999998890e-01
4.343333333333333002e+01 -1.000000000000000000e+00
5.068333333333333002e+01 -1.000000000000000000e+00
5.791666666666666430e+01 -1.000000000000000000e+00
6.515000000000000568e+01 -1.000000000000000000e+00
7.813333333333333997e+01 -9.999999999999998890e-01
8.536666666666666003e+01 -1.000000000000000000e+00
9.259999999999999432e+01 -1.000000000000000000e+00
9.983333333333332860e+01 -1.000000000000000000e+00
1.070666666666666629e+02 -9.956043956043955090e-01
1.143166666666666629e+02 -9.892857142857142128e-01
1.215499999999999972e+02 -9.911764705882352144e-01
1.287833333333333314e+02 -9.901960784313726949e-01
