# Time, Spearman
0.000000000000000000e+00 nan
1.256666666666666643e+01 nan
2.514999999999999858e+01 -9.999999999999998890e-01
3.773333333333333428e+01 -1.000000000000000000e+00
5.029999999999999716e+01 -1.000000000000000000e+00
6.286666666666666714e+01 -9.999999999999998890e-01
7.545000000000000284e+01 -1.000000000000000000e+00
8.803333333333333144e+01 -1.000000000000000000e+00
1.005999999999999943e+02 -1.000000000000000000e+00
1.131666666666666714e+02 -1.000000000000000000e+00
1.312666666666666799e+02 -9.999999999999998890e-01
1.438499999999999943e+02 -1.000000000000000000e+00
1.564333333333333371e+02 -1.000000000000000000e+00
1.690333333333333314e+02 -9.835164835164835750e-01
1.816166666666666742e+02 -9.868131868131868600e-01
1.941999999999999886e+02 -9.892857142857142128e-01
2.067833333333333314e+02 -9.911764705882352144e-01
2.193666666666666742e+02 -9.926470588235295489e-01
2.319499999999999886e+02 -9.917440660474717840e-01
2.445333333333333314e+02 -9.894736842105262831e-01
2.626999999999999886e+02 -9.864661654135337132e-01
2.752833333333333599e+02 -9.831168831168831668e-01
2.878833333333333258e+02 -9.853190287972897199e-01
3.005166666666666515e+02 -9.861660079051384198e-01
3.131000000000000227e+02 -9.878260869565217428e-01
3.256833333333333371e+02 -9.861538461538461586e-01
3.382500000000000000e+02 -9.835897435897434926e-01
3.508333333333333144e+02 -9.664224664224663197e-01
3.634333333333333371e+02 -9.677066228790366376e-01
3.760000000000000000e+02 -9.684729064039405699e-01
3.941166666666666742e+02 -9.688542825361513566e-01
4.066999999999999886e+02 -9.689516129032258451e-01
4.192833333333333599e+02 -9.666422287390029622e-01
4.318666666666666742e+02 -9.649064171122995193e-01
4.444499999999999886e+02 -9.624140565317034213e-01
4.570333333333333599e+02 -9.565826330532212207e-01
4.696333333333333258e+02 -9.528957528957530121e-01
4.821999999999999886e+02 -9.535324798482691655e-01
4.948000000000000114e+02 -9.571069044753255373e-01
5.073833333333333258e+02 -9.404858299595142412e-01
5.254833333333333485e+02 -9.305816135084428176e-01
5.380666666666667197e+02 -9.242160278745646940e-01
5.506666666666666288e+02 -9.295032817437809403e-01
5.632333333333333485e+02 -9.219269102990034215e-01
5.758333333333333712e+02 -9.221987315010570230e-01
5.884166666666666288e+02 -9.220026350461132392e-01
6.010000000000000000e+02 -9.121800801726795971e-01
6.135833333333333712e+02 -9.098057354301573030e-01
6.261499999999999773e+02 -9.070777247069040650e-01
6.387500000000000000e+02 -9.040816326530610736e-01
6.568333333333333712e+02 -9.008883553421368484e-01
6.694166666666666288e+02 -9.046153846153845990e-01
6.820000000000000000e+02 -9.054896269102706841e-01
6.946000000000000227e+02 -8.983228511530396698e-01
7.071833333333332803e+02 -8.963217076424623286e-01
7.197666666666666515e+02 -8.994227994227996792e-01
7.324333333333332803e+02 -8.909090909090909838e-01
7.450166666666666515e+02 -8.882551205600207611e-01
7.576000000000000227e+02 -8.911070780399275026e-01
7.701666666666666288e+02 -8.911163062536529011e-01
7.882666666666666515e+02 -8.942484023339818400e-01
8.008500000000000227e+02 -8.971443680592278147e-01
8.134500000000000455e+02 -8.938329430132708753e-01
8.260333333333333030e+02 -8.978014592933948324e-01
8.386166666666666742e+02 -9.015109890109889168e-01
8.512000000000000455e+02 -8.888986013986014401e-01
8.637833333333333030e+02 -8.899488571130365067e-01
8.763666666666666742e+02 -8.921302578018998064e-01
8.889500000000000455e+02 -8.904454708554414566e-01
9.015333333333333030e+02 -8.906466934599929219e-01
9.196333333333333258e+02 -8.922928877613506282e-01
9.322166666666666970e+02 -8.926559356136820611e-01
9.448166666666667197e+02 -8.939481638690591758e-01
9.575833333333333712e+02 -8.970134518079724284e-01
9.701833333333332803e+02 -8.957126990003699829e-01
9.827833333333333030e+02 -8.944807965860596122e-01
9.953666666666666742e+02 -8.949282296650717949e-01
1.007950000000000045e+03 -8.851411746148587500e-01
1.020533333333333303e+03 -8.867208740626461028e-01
1.033133333333333439e+03 -8.891674780915288512e-01
1.051216666666666697e+03 -8.870604781997187827e-01
1.063799999999999955e+03 -8.848012646793134151e-01
1.076383333333333439e+03 -8.826090268934817518e-01
1.088966666666666697e+03 -8.837790185130767195e-01
1.101549999999999955e+03 -8.859775235395364046e-01
1.114116666666666561e+03 -8.869845612663670442e-01
1.126700000000000045e+03 -8.893910090098587906e-01
