# time,absorbance
2.060000000000000000e+02,1.443958374382162235e+00
2.160000000000000000e+02,1.484410009373910100e+00
2.270000000000000000e+02,1.475961928134262413e+00
2.370000000000000000e+02,1.443252395659531562e+00
2.480000000000000000e+02,1.456139001537589905e+00
2.580000000000000000e+02,1.466433145016326822e+00
2.680000000000000000e+02,1.443017324215684960e+00
2.790000000000000000e+02,1.442664955448359931e+00
2.890000000000000000e+02,1.434868971083107958e+00
2.990000000000000000e+02,1.432339316432518217e+00
3.100000000000000000e+02,1.436023703169680754e+00
3.200000000000000000e+02,1.419017047811918397e+00
3.310000000000000000e+02,1.422701789777671255e+00
3.410000000000000000e+02,1.436255018478426626e+00
3.520000000000000000e+02,1.425288557255253385e+00
3.620000000000000000e+02,1.422477579921424873e+00
3.730000000000000000e+02,1.427323786357247215e+00
3.830000000000000000e+02,1.420799685438046245e+00
3.940000000000000000e+02,1.413163785011549489e+00
4.040000000000000000e+02,1.420576455167439800e+00
4.140000000000000000e+02,1.413822472420783516e+00
4.250000000000000000e+02,1.411849399699871110e+00
4.350000000000000000e+02,1.420241824755170912e+00
4.460000000000000000e+02,1.414372142766154861e+00
4.560000000000000000e+02,1.409123807209809343e+00
4.670000000000000000e+02,1.411630721708391212e+00
4.770000000000000000e+02,1.414812380494580468e+00
4.880000000000000000e+02,1.411849399699871110e+00
4.980000000000000000e+02,1.402116297273717116e+00
5.080000000000000000e+02,1.403830760815462986e+00
5.190000000000000000e+02,1.399025978756412325e+00
5.290000000000000000e+02,1.397330341729180914e+00
5.400000000000000000e+02,1.411958780000639013e+00
5.500000000000000000e+02,1.394168756677867993e+00
5.610000000000000000e+02,1.391447210888145936e+00
5.710000000000000000e+02,1.389780851119464256e+00
5.810000000000000000e+02,1.386364045343488893e+00
5.920000000000000000e+02,1.393853860362994190e+00
6.020000000000000000e+02,1.389988796769548340e+00
6.130000000000000000e+02,1.393644056261375885e+00
6.230000000000000000e+02,1.387603412125814506e+00
6.340000000000000000e+02,1.384717038934735189e+00
6.440000000000000000e+02,1.388846325872523657e+00
6.550000000000000000e+02,1.386364045343488893e+00
6.650000000000000000e+02,1.375064524216531581e+00
6.760000000000000000e+02,1.374964051230102235e+00
6.860000000000000000e+02,1.368977816109794743e+00
6.970000000000000000e+02,1.365032347394150358e+00
7.070000000000000000e+02,1.368581652358809020e+00
7.180000000000000000e+02,1.371063625521072638e+00
7.280000000000000000e+02,1.358116218680643916e+00
7.390000000000000000e+02,1.367494061738982580e+00
7.490000000000000000e+02,1.357729835664140738e+00
7.600000000000000000e+02,1.362975236494924136e+00
7.700000000000000000e+02,1.353502156880037610e+00
7.810000000000000000e+02,1.348652841345830522e+00
7.910000000000000000e+02,1.341060578707546025e+00
8.020000000000000000e+02,1.351023191525962508e+00
8.120000000000000000e+02,1.341153505739440810e+00
8.230000000000000000e+02,1.343857075697217907e+00
8.330000000000000000e+02,1.349315236369833970e+00
8.440000000000000000e+02,1.331594045480400279e+00
8.540000000000000000e+02,1.334055677138887619e+00
8.650000000000000000e+02,1.334604606407547855e+00
8.750000000000000000e+02,1.319490928630642879e+00
8.860000000000000000e+02,1.319933228782838475e+00
8.960000000000000000e+02,1.317286159544222901e+00
9.070000000000000000e+02,1.322507490786042350e+00
9.180000000000000000e+02,1.310045569618734751e+00
9.280000000000000000e+02,1.306684607355186767e+00
9.390000000000000000e+02,1.305056590226050695e+00
9.490000000000000000e+02,1.297847161716531472e+00
9.600000000000000000e+02,1.299701682896720278e+00
9.700000000000000000e+02,1.290838222565415139e+00
9.810000000000000000e+02,1.282720332343235681e+00
9.910000000000000000e+02,1.291086603745707384e+00
1.002000000000000000e+03,1.298183758890445905e+00
1.013000000000000000e+03,1.283940604238789973e+00
1.023000000000000000e+03,1.280370818176111092e+00
1.034000000000000000e+03,1.263881658913324602e+00
1.044000000000000000e+03,1.264504415043555818e+00
1.055000000000000000e+03,1.260086640629698218e+00
1.066000000000000000e+03,1.251837394365780565e+00
1.076000000000000000e+03,1.250176032819359850e+00
1.087000000000000000e+03,1.250703958797943383e+00
1.097000000000000000e+03,1.238427580040834197e+00
1.108000000000000000e+03,1.243222387355372049e+00
1.119000000000000000e+03,1.241298107361716418e+00
1.129000000000000000e+03,1.222368771444190871e+00
1.140000000000000000e+03,1.216052159871755523e+00
1.150000000000000000e+03,1.218357597265500303e+00
1.161000000000000000e+03,1.208523049072684152e+00
1.172000000000000000e+03,1.194706945841757406e+00
1.182000000000000000e+03,1.181381178774933760e+00
1.193000000000000000e+03,1.181188230464361277e+00
1.204000000000000000e+03,1.174298573043599525e+00
1.214000000000000000e+03,1.169264677428360821e+00
1.225000000000000000e+03,1.160470734245717006e+00
1.235000000000000000e+03,1.152452762229868810e+00
1.246000000000000000e+03,1.230936423593173679e+00
