parameter,value
acquisition time,2025-05-08T15:37:10.077983
integration time,15
number of averages,100

wavelength,transmittance
198.5890655517578,126.6625
198.8887176513672,138.3375
199.1883544921875,131.9375
199.48797607421875,136.725
199.78756713867188,126.4725
200.087158203125,127.7275
200.38671875,135.99
200.686279296875,131.2675
200.98582458496094,136.9925
201.2853240966797,133.7775
201.5848388671875,127.9675
201.88430786132812,129.1975
202.18377685546875,127.3325
202.48321533203125,131.53
202.78265380859375,128.4
203.08206176757812,137.38
203.3814697265625,164.115
203.6808624267578,160.9175
203.980224609375,160.7
204.27957153320312,165.1
204.57887268066406,160.5225
204.87820434570312,166.7575
205.177490234375,163.47
205.47677612304688,162.235
205.77603149414062,158.6175
206.07528686523438,160.3475
206.37452697753906,163.925
206.67372131347656,158.66
206.97291564941406,157.515
207.27207946777344,160.24
207.57125854492188,162.705
207.87039184570312,156.3525
208.16952514648438,160.995
208.46864318847656,162.4
208.76771545410156,156.02
209.06680297851562,169.6475
209.3658447265625,158.1825
209.66488647460938,164.9375
209.96389770507812,159.615
210.26292419433594,159.9375
210.56192016601562,157.46
210.86087036132812,168.455
211.1598358154297,161.2
211.45875549316406,162.0825
211.7576904296875,157.945
212.0565948486328,160.8675
212.35546875,163.455
212.6543426513672,160.6975
212.95318603515625,164.86
213.2520294189453,162.9125
213.55084228515625,163.4575
213.8496551513672,163.735
214.14842224121094,162.695
214.44720458984375,161.7475
214.7459259033203,157.875
215.04466247558594,162.225
215.34336853027344,157.7575
215.64207458496094,161.2075
215.9407501220703,161.0275
216.23941040039062,176.7325
216.53805541992188,161.5075
216.836669921875,169.67
217.13528442382812,163.7625
217.4338836669922,164.25
217.7324676513672,167.1625
218.03102111816406,167.9875
218.32955932617188,166.995
218.62808227539062,164.4675
218.92657470703125,170.3225
219.22508239746094,167.2125
219.52354431152344,173.7725
219.82200622558594,174.4175
220.1204376220703,163.385
220.41885375976562,178.91
220.71726989746094,171.6175
221.01564025878906,177.21
221.31402587890625,166.71
221.6123504638672,170.955
221.9106903076172,168.785
222.20901489257812,176.2775
222.50729370117188,177.4025
222.80557250976562,173.555
223.10385131835938,170.63
223.40208435058594,182.2475
223.7003173828125,179.73
223.99851989746094,180.3425
224.2967071533203,183.4175
224.5948944091797,185.2
224.89305114746094,178.78
225.19119262695312,184.7
225.48931884765625,186.355
225.78741455078125,192.9225
226.08551025390625,191.96
226.38357543945312,197.97
226.68162536621094,189.4125
226.9796600341797,194.6725
227.27769470214844,193.955
227.57569885253906,201.51
227.87367248535156,201.77
228.17164611816406,203.0675
228.46957397460938,208.745
228.76751708984375,206.0675
229.06541442871094,210.4725
229.36331176757812,210.77
229.6612091064453,207.1525
229.9590606689453,215.595
230.25689697265625,209.8
230.55471801757812,218.1925
230.8525390625,213.73
231.1503143310547,216.475
231.44810485839844,219.9525
231.745849609375,217.1925
232.04359436035156,222.86
232.34129333496094,222.4325
232.6389923095703,217.73
232.9366912841797,219.475
233.23435974121094,206.785
233.53201293945312,210.8025
233.82965087890625,211.73
234.1272430419922,207.1525
234.42483520507812,200.5325
234.722412109375,200.6875
235.01998901367188,197.825
235.31752014160156,202.9475
235.61505126953125,182.655
235.9125518798828,186.07
236.21005249023438,182.915
236.5075225830078,184.9325
236.80496215820312,169.325
237.1024169921875,171.065
237.39984130859375,169.765
237.69723510742188,170.995
237.99459838867188,166.535
